"date","winner","loser"
"2016.12.31","설현준","구쯔하오"
"2016.12.31","자오천위","천셴(賢)"
"2016.12.31","시바노 도라마루","리리옌(아마)"
"2016.12.31","미위팅","랴오위안허"
"2016.12.31","이링타오","리친청"
"2016.12.31","양딩신","퉁멍청"
"2016.12.31","허위한","양카이원"
"2016.12.31","황윈쑹","차오쯔젠"
"2016.12.31","신진서","최 정"
"2016.12.31","쉬자위안","셰커"
"2016.12.31","신민준","알리 자바린"
"2016.12.31","커제","송규상"
"2016.12.31","판팅위","왕쩌진"
"2016.12.31","변상일","이치리키 료"
"2016.12.31","판윈뤄","린스쉰"
"2016.12.31","이동훈","김명훈"
"2016.12.28","김민호","이영주"
"2016.12.28","김명훈","최기훈"
"2016.12.28","박영훈","박영롱"
"2016.12.28","황재연","조혜연"
"2016.12.28","최규병","권주리"
"2016.12.28","강태훈","조승아"
"2016.12.28","조한승","박진영"
"2016.12.28","김민호","강다정"
"2016.12.28","진시영","서중휘"
"2016.12.28","김명훈","문명근"
"2016.12.28","조인선","김원빈"
"2016.12.28","박영훈","최창원"
"2016.12.28","이희성","이민진"
"2016.12.28","황재연","이홍열"
"2016.12.28","홍기표","한웅규"
"2016.12.28","진동규","최규병"
"2016.12.28","박하민","최영찬"
"2016.12.28","백홍석","강태훈"
"2016.12.28","전영규","권효진(남)"
"2016.12.28","설현준","조경호"
"2016.12.28","김정현","배준희"
"2016.12.28","조한승","김동호"
"2016.12.28","이원영","이현호"
"2016.12.28","김나현","차수권"
"2016.12.28","김다영","김수용"
"2016.12.28","박대영","장건현"
"2016.12.28","안성준","홍민표"
"2016.12.28","서능욱","김민희"
"2016.12.28","김주호","김은선"
"2016.12.28","강승민","김동우"
"2016.12.28","강동윤","강병권"
"2016.12.28","허 진","최원용"
"2016.12.28","최철한","박진솔"
"2016.12.28","이영구","김준영"
"2016.12.28","최재영","김형우"
"2016.12.28","송상훈","김선호"
"2016.12.28","강지성","오장욱"
"2016.12.28","한상훈","김성진"
"2016.12.28","이범진","김기헌"
"2016.12.28","이성재","김영도"
"2016.12.28","홍성지","박종훈"
"2016.12.28","김혜림","한상열"
"2016.12.28","백찬희","김만수"
"2016.12.28","안국현","윤민중"
"2016.12.28","박지연","이현욱"
"2016.12.28","김기용","이상헌"
"2016.12.28","박창명","장혜령"
"2016.12.28","목진석","이형진"
"2016.12.28","변상일","김진훈"
"2016.12.28","박경근","강 훈(小)"
"2016.12.28","이어덕둥","차부일"
"2016.12.28","김현섭","김선기"
"2016.12.28","유오성","김승준"
"2016.12.28","김세동","박태희"
"2016.12.28","한철균","강창배"
"2016.12.28","한태희","김강민"
"2016.12.28","김승재","안정기"
"2016.12.28","류수항","윤찬희"
"2016.12.28","위태웅","김영삼"
"2016.12.28","박재근","류민형"
"2016.12.28","박준석","박현수"
"2016.12.28","신민준","최명훈"
"2016.12.28","김지석","조대현"
"2016.12.28","황진형","권효진(여)"
"2016.12.28","원성진","송규상"
"2016.12.28","허영호","현유빈"
"2016.12.28","서무상","김형환"
"2016.12.28","김창훈","김지명"
"2016.12.28","박정수","백대현"
"2016.12.28","이창석","유재성"
"2016.12.28","이슬아","송혜령"
"2016.12.28","이지현(남)","정두호"
"2016.12.28","박건호","김민정"
"2016.12.28","유재호","송태곤"
"2016.12.28","이원도","이춘규"
"2016.12.28","박시열","오정아"
"2016.12.28","김진휘","정연우"
"2016.12.28","최 정","이용수"
"2016.12.28","윤준상","박진열"
"2016.12.28","박정근","김기원"
"2016.12.28","이상훈(小)","김동면"
"2016.12.28","한승주","김신영"
"2016.12.28","주형욱","박민규"
"2016.12.28","이태현","안조영"
"2016.12.28","김혜민","박승문"
"2016.12.28","온소진","장두진"
"2016.12.28","김남훈","김채영"
"2016.12.28","강우혁","김종수"
"2016.12.28","강유택","김누리"
"2016.12.28","박상진","김수진"
"2016.12.28","송지훈","서봉수"
"2016.12.26","김다영","김경은(아마)"
"2016.12.26","송상훈","윤민중"
"2016.12.26","김창훈","임상규(아마)"
"2016.12.26","박창명","송지훈"
"2016.12.26","박하민","최영찬"
"2016.12.26","조경호","정대상"
"2016.12.26","이세돌","나 현"
"2016.12.23","임상규(아마)","김진휘"
"2016.12.23","김경은(아마)","강다정"
"2016.12.23","김다영","권주리"
"2016.12.23","송상훈","박상진"
"2016.12.23","윤민중","현유빈"
"2016.12.23","김창훈","김민호"
"2016.12.23","박창명","김희수(아마-남)"
"2016.12.23","송지훈","오장욱"
"2016.12.23","최영찬","김영도"
"2016.12.23","박하민","이재성(아마)"
"2016.12.22","탄샤오","구쯔하오"
"2016.12.22","박영훈","커제"
"2016.12.21","김경은(아마)","장혜령"
"2016.12.21","강다정","정연우"
"2016.12.21","권주리","송혜령"
"2016.12.21","김다영","박태희"
"2016.12.21","송상훈","유오성"
"2016.12.21","박상진","한우진(아마)"
"2016.12.21","윤민중","김동우"
"2016.12.21","현유빈","이창석"
"2016.12.21","김창훈","이어덕둥"
"2016.12.21","김민호","김지명"
"2016.12.21","임상규(아마)","박종훈"
"2016.12.21","김진휘","위태웅"
