"rank","name","rating","rank_change","rating_change"
"1","박정환","9,902","-","30"
"2","신진서","9,783","-","29"
"3","이세돌","9,742","-","20"
"4","박영훈","9,673","2","30"
"5","최철한","9,652","-","1"
"5","이동훈","9,652","3","39"
"7","안성준","9,646","3","-9"
"8","김지석","9,645","1","5"
"9","원성진","9,593","1","3"
"10","강동윤","9,585","1","-22"
"11","이영구","9,581","-","5"
"12","변상일","9,544","-","-17"
"13","조한승","9,537","2","10"
"14","이지현(남)","9,533","-","-7"
"15","나 현","9,527","2","-17"
"16","신민준","9,487","1","18"
"17","강유택","9,484","1","-17"
"18","홍성지","9,477","-","23"
"19","김정현","9,431","-","-6"
"20","목진석","9,425","1","-7"
"21","백홍석","9,423","1","-12"
"21","허영호","9,423","5","30"
"23","한상훈","9,416","-","-8"
"24","김명훈","9,413","2","-14"
"25","안국현","9,408","2","21"
"25","윤준상","9,408","1","0"
"27","진시영","9,396","2","-11"
"28","박진솔","9,389","1","17"
"29","김승재","9,385","1","17"
"30","김현찬","9,372","2","-13"
"31","김기용","9,364","-","1"
"32","박승화","9,345","4","25"
"33","강승민","9,341","-","-4"
"34","한승주","9,335","-","-9"
"35","류민형","9,317","6","17"
"36","민상연","9,316","1","0"
"37","김세동","9,315","2","-10"
"38","이창호","9,309","-","-6"
"39","한태희","9,307","1","3"
"40","박민규","9,304","8","-42"
"41","윤찬희","9,298","2","-15"
"42","안조영","9,289","3","24"
"43","이원영","9,287","1","-5"
"44","이태현","9,269","1","-5"
"45","이호범","9,268","1","5"
"46","박창명","9,258","진 입",""
"47","류수항","9,256","-","2"
"47","송지훈","9,256","1","13"
"49","한웅규","9,250","5","-21"
"50","박정상","9,246","2","31"
"51","김주호","9,241","2","-1"
"51","최재영","9,241","-","7"
"53","송태곤","9,234","3","-5"
"54","홍기표","9,214","1","5"
"55","김성진","9,194","-","-10"
"56","이춘규","9,193","2","-13"
"57","최 정","9,191","1","10"
"58","안형준","9,186","2","-7"
"59","김동호","9,182","2","-7"
"60","김형우","9,171","2","7"
"61","고근태","9,167","2","-8"
"62","홍민표","9,161","2","-12"
"63","송상훈","9,157","8","31"
"64","유병용","9,155","3","-16"
"65","조훈현","9,144","2","0"
"66","이원도","9,143","2","2"
"67","온소진","9,138","3","10"
"68","황재연","9,137","5","22"
"69","조인선","9,134","2","-1"
"70","김민호","9,132","1","0"
"71","이창석","9,130","7","-11"
"72","박시열","9,127","4","-6"
"73","유창혁","9,125","1","0"
"74","강병권","9,124","8","-15"
"75","최기훈","9,119","1","17"
"76","박하민","9,118","1","20"
"77","진동규","9,102","-","4"
"78","박재근","9,100","10","37"
"79","이형진","9,098","5","-14"
"80","안정기","9,096","5","-15"
"81","이희성","9,091","1","-4"
"82","김진휘","9,090","-","1"
"83","이정우","9,089","4","-7"
"84","이상헌","9,083","3","-9"
"85","박준석","9,080","2","-8"
"86","박영롱","9,079","2","-7"
"87","박경근","9,074","3","14"
"88","신윤호","9,071","1","0"
"89","홍무진","9,066","3","9"
"89","이재웅","9,066","4","-12"
"91","설현준","9,059","9","51"
"92","이현호","9,055","6","-18"
"93","백찬희","9,054","2","-4"
"94","이범진","9,047","1","5"
"95","김수용","9,039","6","-22"
"96","박건호","9,036","1","14"
"97","최명훈","9,031","3","6"
"98","최현재","9,020","진 입",""
"99","박승현","9,019","진 입",""
"99","강지성","9,019","진 입",""
